rank_60d,ticker,contract,exchange,last_date,last_close,volatility_20d_pct,volatility_60d_pct,volatility_126d_pct,atr_14_pct,mean_abs_return_60d_pct,max_abs_return_60d_pct,max_drawdown_126d_pct,avg_dollar_volume_20d_m,bybit_turnover_24h_usdt,bybit_open_interest_usdt,bybit_spread_bps,bybit_funding_rate_pct
68,ASML,ASMLUSDT,NASDAQ,2026-08-21,1763.760009765625,48.836252810148686,56.470262871413624,52.781934964659605,3.804507978423671,2.7911390858902245,9.531253369893466,-21.95313939004605,2652.962809443359,80197.5158,742712.12,17.43926789158208,0.0
69,PANW,PANWUSDT,NASDAQ,2026-08-21,357.8699951171875,44.935874696120784,53.59325773685305,48.97432768030869,4.3029861882052165,2.7201684239156054,9.279595937161522,-13.385177616020593,2016.3526870539856,942404.171,292555.26,12.845932586779288,0.0
70,ADBE,ADBEUSDT,NASDAQ,2026-08-21,275.29998779296875,51.59044464791507,53.04345388735121,46.82084932516263,4.018836178341174,2.700098275862024,7.360002002147259,-31.806640225702274,1302.4639200441743,57055.2325,319406.29,7.598646717205014,0.0
71,AAL,AALUSDT,NASDAQ,2026-08-21,13.81999969482422,47.136664588258036,51.76756946768574,52.11475111182933,4.097137357956349,2.5493221090088882,9.165421276033282,-26.97273592818956,856.301172379508,43313.8751,65867.49,21.606049693915114,0.0
72,CRM,CRMUSDT,NYSE,2026-08-21,209.1699981689453,46.77746644402848,51.428274419935136,47.12781917328743,3.8524542866484914,2.648980477889883,9.68079656802212,-28.193011538441326,2457.0677740562437,21029.9934,289534.15,12.835444843241673,0.0
73,1810.HK,XIAOMIUSDT,HKEX,2026-08-24,28.0,56.49569463209518,51.3799333186163,46.52656691756146,4.530642861676497,2.544504780901726,9.523804412382631,-41.411380547861874,5648.2801646939,445783.0671,131185.02,16.745743790119406,0.0
74,TXN,TXNUSDT,NASDAQ,2026-08-21,264.3599853515625,34.64660930713467,50.24136857153824,49.161334371584765,3.996608073760895,2.439036942481043,8.460285107939814,-20.03324752205985,1923.2752611979674,12759.3604,204568.65,47.21960957444836,0.0
75,TSM,TSMUSDT,NYSE,2026-08-21,418.9500122070313,38.665271344195666,49.34745467507249,45.5779412697407,3.2594466351730134,2.3205279183590553,7.644055596774724,-21.54657795053414,4983.554276552734,276053.2371,1627698.66,1.690596659863863,0.0
76,SPXC,SPCXUSDT,NYSE,2026-08-21,207.1999969482422,62.46133567813415,48.69501270749683,47.544531863755786,4.1757878099008705,2.2616587256208467,10.195680759800396,-23.846438412541005,100.61738875511169,11669062.1259,32643794.78,0.7421425655861743,0.0
77,META,METAUSDT,NASDAQ,2026-08-21,549.9000244140625,47.14985481383632,48.42950959747988,43.88162918560508,3.6839903587723155,2.1998628499169177,8.808961112881498,-21.642636781185153,9913.983846097412,588305.6728,4021961.84,1.086346435879472,0.047001999999999995
78,CAT,CATSTOCKUSDT,NYSE,2026-08-21,827.9000244140625,46.33530388232337,48.01261646381462,43.82881544998526,4.157652158463304,2.350579496248859,6.914426509053184,-26.362852609495157,2648.955943996582,463655.1943,116153.45,2.188609503428213,0.378656
79,3690.HK,MEITUANUSDT,HKEX,2026-08-24,82.80000305175781,26.326407654350508,47.1236395257403,47.258408822917666,4.035772252176146,2.320237305576639,9.26517571884984,-28.61111111111111,3761.3528996524415,67630.6166,26266.45,28.261893546868713,0.0
80,MSFT,MSFTUSDT,NASDAQ,2026-08-21,483.239990234375,56.848426536186544,45.90804133046558,37.063420820064586,2.5447672085356645,2.0120576740097635,15.506739165511707,-23.384438882974436,17143.975156228942,1433542.9598,8588880.82,0.2064047390526209,0.0
81,BABA,BABAUSDT,NYSE,2026-08-21,119.33999633789062,48.21653927687659,45.31127706017873,43.37901066665607,3.7976734680763977,2.049511042014207,11.045449393418828,-37.508506067946755,1460.8068174765015,400321.0471,1873558.09,6.07296230425482,0.0
82,VST,VSTUSDT,NYSE,2026-08-21,136.2100067138672,51.74077758411878,45.021968302004986,47.98696500212945,4.440884332644392,2.2283400175295722,8.150574910143993,-23.71125501001332,702.1161172260285,74618.4849,187565.24,27.097293932401485,0.0
83,ZM,ZMUSDT,NASDAQ,2026-08-21,107.43000030517578,35.06054657554371,44.259675583810974,48.00525795220233,3.2880502747207405,2.164673857332076,9.873025662223078,-25.920629881955094,294.78222437625885,251314.5219,111908.37,15.772138980377761,0.0
84,AMZN,AMZNUSDT,NASDAQ,2026-08-21,258.6300048828125,59.589584733827316,43.716143164198776,36.519296419726444,2.892852088635585,1.8492877010231514,15.320588778032107,-17.578820340584123,12559.423800824967,295431.5079,2700306.28,0.7736943907149636,0.016311
85,0700.HK,TENCENTUSDT,HKEX,2026-08-24,441.7999877929688,33.89661912245602,43.701319760776144,39.12440852291916,3.206618763749605,2.111860707471618,10.458716996219186,-25.407724420347844,12299.85347296066,20178.8001,217860.19,15.941900628820019,0.0
86,XPEV,PENGSTOCKUSDT,NYSE,2026-08-21,12.1899995803833,39.31289786289,43.52754028318313,48.37050379493593,3.4733895572163553,2.2859031303885273,5.872622243060888,-41.861621620389975,79.49221635964871,667119.0815,126840.52,9.762764814996439,0.044757
87,UBER,UBERUSDT,NYSE,2026-08-21,78.80000305175781,44.46728028873766,42.150297509712395,38.3070701508641,3.472013542428215,2.024162966548075,6.456641611390457,-16.710870321490766,1483.1034289961624,14097.1858,336212.81,21.572235264260097,0.0
88,NVDA,NVDAUSDT,NASDAQ,2026-08-21,214.72000122070312,38.268429814969785,40.17205733802466,38.65653275214386,2.916940899769385,2.007526419450299,6.26124588791841,-19.30455500291869,24671.416342235716,9559747.2803,8300536.92,0.4648460197555331,0.0
89,BIIB,BIIBUSDT,NASDAQ,2026-08-21,216.77999877929688,30.2260198855898,40.145663395203876,36.77206995990792,2.981150398050187,1.8989338729356087,8.171076845811264,-12.22369382074211,200.79141160446167,179705.3089,21745.79,15.439106348196121,0.0
